station_id,latitude,longitude,elevation,start_date,end_date,prcp_zero,prcp_ct,srad_ct,temp_ct,dewpt_ct,rh_ct,wspd_ct,wdir_ct,MGRS_TILE
FRKX1,47.955299377441406,-124.38500213623045,92.40000152587889,2011-06-15,2011-07-01,0,370,365,365,365,365,365,365,10TCU
D7795,47.94282913208008,-124.40116882324217,86.40000152587889,2019-10-02,2023-11-22,0,31093,789,29666,29666,29666,29666,29666,10TCU
KUIL,47.9375,-124.55500030517578,59.09999847412109,2021-02-03,2021-02-17,1,336,0,336,336,336,336,336,10TCU
FKSWA,47.970001220703125,-124.4000015258789,95.0,2015-08-14,2025-06-01,0,77100,71417,71417,0,71417,71417,71417,10TCU
TS992,47.955299377441406,-124.38500213623045,92.40000152587889,2011-05-23,2011-06-10,0,422,412,412,412,412,412,412,10TCU
LAPW1,47.91329956054688,-124.63700103759768,0.0,2006-03-15,2025-06-01,0,168369,0,149815,1,1,151685,151855,10TCU
FRKW1,47.95528030395508,-124.38497161865232,92.40000152587889,2011-07-06,2025-05-31,0,121602,116219,118769,118738,118765,117615,92581,10TCU
C5915,47.957401275634766,-124.37940216064452,97.5,2006-05-31,2009-07-17,0,27134,0,25789,25789,25789,25789,25789,10TCU
SDQW1,47.95193862915039,-124.46749877929688,47.200000762939446,2009-06-05,2025-06-01,1,118553,0,88492,0,0,0,0,10TCU
TEM81,47.880001068115234,-123.08000183105467,1249.0,2001-07-01,2003-02-26,1,14140,0,1935,0,0,0,0,10TDU
HURW1,47.97060012817384,-123.49829864501952,1585.0,2001-07-01,2023-10-26,0,133453,107594,118211,117583,118386,119293,113178,10TDU
DGSW1,47.87223815917969,-123.07879638671876,1222.300048828125,2003-03-06,2025-05-31,0,189945,50,135593,0,0,0,0,10TDU
HUR53,47.970401763916016,-123.49932861328124,1600.199951171875,2016-01-22,2025-05-31,1,73388,11637,63488,63487,63487,63477,62842,10TDU
HSTW1,47.85969924926758,-123.93219757080078,174.3000030517578,2010-05-19,2025-05-27,0,107069,0,0,0,0,0,0,10TDU
HUR52,47.97200012207031,-123.50299835205078,1570.0,2005-09-16,2015-05-06,1,79976,0,60425,60283,60294,60436,57054,10TDU
WHSW1,47.94485092163086,-123.42594146728516,1527.0999755859375,2003-03-06,2025-06-01,0,192969,120355,143080,89739,95453,118806,112562,10TDU
CGFW1,47.916698455810554,-123.11720275878906,731.5,2001-07-01,2025-05-31,0,204192,165617,176737,176624,176684,176449,168950,10TDU
TEM96,47.930000305175774,-123.41999816894533,1524.0,2001-07-01,2003-02-26,1,11710,0,1717,0,0,0,0,10TDU
G4795,47.92399978637695,-122.08917236328124,47.0,2024-05-08,2025-05-31,0,8681,8569,8569,8569,8569,8569,8569,10TEU
KPAE,47.92330932617188,-122.28305053710936,157.89999389648435,2021-02-03,2021-02-17,1,336,0,336,336,336,336,336,10TEU
D2629,47.936328887939446,-122.08699798583984,61.299999237060554,2009-04-08,2025-05-31,0,140847,0,137041,137040,137040,137041,137041,10TEU
LKSCV,47.97299957275391,-122.12270355224608,6.400000095367432,2014-08-06,2025-05-31,0,92530,0,91140,0,91140,91140,91140,10TEU
D9051,47.98353958129884,-122.51161193847656,3.0,2011-12-07,2019-09-12,0,34359,2,27878,27878,27878,27878,27873,10TEU
