stationId,mnet_id,network_name,sensor_ht_explicit,wind_sensor_ht
SVB,6,AVALANCHE,,10.0
SVT,6,AVALANCHE,,10.0
JHR,48,BTAVAL,6.1,6.1
JHS,48,BTAVAL,9.1,9.1
JHA,48,BTAVAL,,10.0
KGCD,1,ASOS/AWOS,10.0,10.0
KALW,1,ASOS/AWOS,10.0,10.0
KAST,1,ASOS/AWOS,10.0,10.0
KAWO,1,ASOS/AWOS,10.0,10.0
KBFI,1,ASOS/AWOS,10.0,10.0
KBHK,1,ASOS/AWOS,10.0,10.0
KBIL,1,ASOS/AWOS,10.0,10.0
KBKE,1,ASOS/AWOS,10.0,10.0
KBLI,1,ASOS/AWOS,10.0,10.0
KBNO,1,ASOS/AWOS,10.0,10.0
KBOI,1,ASOS/AWOS,10.0,10.0
KBPI,1,ASOS/AWOS,10.0,10.0
KBTM,1,ASOS/AWOS,10.0,10.0
KBYG,1,ASOS/AWOS,10.0,10.0
KBYI,1,ASOS/AWOS,10.0,10.0
KBZN,1,ASOS/AWOS,10.0,10.0
KCLM,1,ASOS/AWOS,10.0,10.0
KCOD,1,ASOS/AWOS,10.0,10.0
KCOE,1,ASOS/AWOS,10.0,10.0
KCPR,1,ASOS/AWOS,10.0,10.0
KCTB,1,ASOS/AWOS,10.0,10.0
KCVO,1,ASOS/AWOS,10.0,10.0
KDEW,1,ASOS/AWOS,10.0,10.0
KDGW,1,ASOS/AWOS,10.0,10.0
KDLN,1,ASOS/AWOS,10.0,10.0
KDLS,1,ASOS/AWOS,10.0,10.0
KEAT,1,ASOS/AWOS,10.0,10.0
KELN,1,ASOS/AWOS,10.0,10.0
KEPH,1,ASOS/AWOS,10.0,10.0
KEUG,1,ASOS/AWOS,10.0,10.0
KEUL,1,ASOS/AWOS,10.0,10.0
KFHR,1,ASOS/AWOS,10.0,10.0
KGCC,1,ASOS/AWOS,10.0,10.0
KGDV,1,ASOS/AWOS,10.0,10.0
KGEG,1,ASOS/AWOS,10.0,10.0
KGFA,1,ASOS/AWOS,10.0,10.0
KGGW,1,ASOS/AWOS,10.0,10.0
KGRF,1,ASOS/AWOS,10.0,10.0
KGTF,1,ASOS/AWOS,10.0,10.0
KHIO,1,ASOS/AWOS,10.0,10.0
KHLN,1,ASOS/AWOS,10.0,10.0
KHQM,1,ASOS/AWOS,10.0,10.0
KHRI,1,ASOS/AWOS,10.0,10.0
KHVR,1,ASOS/AWOS,10.0,10.0
KIDA,1,ASOS/AWOS,10.0,10.0
KJAC,1,ASOS/AWOS,10.0,10.0
KJDN,1,ASOS/AWOS,10.0,10.0
KJER,1,ASOS/AWOS,10.0,10.0
KKLS,1,ASOS/AWOS,10.0,10.0
KLGD,1,ASOS/AWOS,10.0,10.0
KLKV,1,ASOS/AWOS,10.0,10.0
KLLJ,1,ASOS/AWOS,10.0,10.0
KLMT,1,ASOS/AWOS,10.0,10.0
KLND,1,ASOS/AWOS,10.0,10.0
KLVM,1,ASOS/AWOS,10.0,10.0
KLWS,1,ASOS/AWOS,10.0,10.0
KLWT,1,ASOS/AWOS,10.0,10.0
KMFR,1,ASOS/AWOS,10.0,10.0
KMLP,1,ASOS/AWOS,10.0,10.0
KMLS,1,ASOS/AWOS,10.0,10.0
KMSO,1,ASOS/AWOS,10.0,10.0
KMUO,1,ASOS/AWOS,10.0,10.0
KMWH,1,ASOS/AWOS,10.0,10.0
KMYL,1,ASOS/AWOS,10.0,10.0
KNUW,1,ASOS/AWOS,10.0,10.0
KOLF,1,ASOS/AWOS,10.0,10.0
KOLM,1,ASOS/AWOS,10.0,10.0
KONO,1,ASOS/AWOS,10.0,10.0
KONP,1,ASOS/AWOS,10.0,10.0
KOTH,1,ASOS/AWOS,10.0,10.0
KP60,1,ASOS/AWOS,10.0,10.0
KP69,1,ASOS/AWOS,10.0,10.0
KPAE,1,ASOS/AWOS,10.0,10.0
KPDT,1,ASOS/AWOS,10.0,10.0
KPDX,1,ASOS/AWOS,10.0,10.0
KPIH,1,ASOS/AWOS,10.0,10.0
KPSC,1,ASOS/AWOS,10.0,10.0
KPUW,1,ASOS/AWOS,10.0,10.0
KPWT,1,ASOS/AWOS,10.0,10.0
KRBG,1,ASOS/AWOS,10.0,10.0
KRDM,1,ASOS/AWOS,10.0,10.0
KREO,1,ASOS/AWOS,10.0,10.0
KRIW,1,ASOS/AWOS,10.0,10.0
KRNT,1,ASOS/AWOS,10.0,10.0
KRXE,1,ASOS/AWOS,10.0,10.0
KGIC,1,ASOS/AWOS,10.0,10.0
KSDY,1,ASOS/AWOS,10.0,10.0
KSEA,1,ASOS/AWOS,10.0,10.0
KSFF,1,ASOS/AWOS,10.0,10.0
KSHN,1,ASOS/AWOS,10.0,10.0
KSHR,1,ASOS/AWOS,10.0,10.0
KSKA,1,ASOS/AWOS,10.0,10.0
KSLE,1,ASOS/AWOS,10.0,10.0
KSMN,1,ASOS/AWOS,10.0,10.0
KSMP,1,ASOS/AWOS,10.0,10.0
KSNT,1,ASOS/AWOS,10.0,10.0
KSUN,1,ASOS/AWOS,10.0,10.0
KSXT,1,ASOS/AWOS,10.0,10.0
KTCM,1,ASOS/AWOS,10.0,10.0
KTIW,1,ASOS/AWOS,10.0,10.0
KTTD,1,ASOS/AWOS,10.0,10.0
KTWF,1,ASOS/AWOS,10.0,10.0
KUAO,1,ASOS/AWOS,10.0,10.0
KUIL,1,ASOS/AWOS,10.0,10.0
KVUO,1,ASOS/AWOS,10.0,10.0
KWRL,1,ASOS/AWOS,10.0,10.0
KYKM,1,ASOS/AWOS,10.0,10.0
